Age,Mort
0.464505226,99.99062424
1.590753881,99.97421666
2.877316449,99.79360307
4.324192932,99.44878347
6.092854745,99.09927598
7.620177561,98.75328441
9.711782205,98.72281319
11.15981619,98.70171773
13.411156,98.34517843
15.26142164,98.31822312
16.95079462,98.29361175
18.88092785,98.1036224
20.89208616,98.07432315
22.66190548,98.04853981
24.10993946,98.02744435
25.39708078,98.00869283
27.48868543,97.97822162
29.41997616,98.11195641
32.15399396,97.74838529
35.04948318,97.5443323
37.7024759,97.02007107
40.19457595,96.49815379
42.84814742,96.13575463
45.9010568,94.95818527
47.99092519,94.44212783
50.48128899,93.43462433
52.48955355,92.59601472
54.33692545,91.75974905
56.50434642,90.43320929
57.78917273,89.76700948
60.35708912,87.94902365
62.20214601,86.46530969
63.96617782,84.82090563
65.72905212,82.85277742
67.33161251,81.04885523
69.25306448,78.4309348
70.85330987,75.97956432
72.0501661,73.21032954
73.56765016,70.11268274
74.84553147,67.50413807
76.36070052,63.75904298
77.55524174,60.34235991
78.74978297,56.92567685
79.78458903,53.83506187
81.21699675,49.44369046
82.41038047,45.70328325
83.52505411,42.44963423
84.55870267,39.0352951
85.75266515,35.45674997
86.62599979,32.20661686
87.58035952,29.11717385
88.85303207,25.05187052
89.96654822,21.47449736
91.23806327,17.08546989
92.91412499,13.33803086
94.75107937,9.58824789
96.10940701,6.978531247
97.94809765,3.714334495
100.27236,1.252416284
102.2794671,0.09008253
104.3687567,-0.587836978
106.9430394,-0.625340016
108.551966,-0.648779415